Dateiname;Thema;Prompt
urkorn_roggen.jpg;Champagnerroggen;Light rye bread loaf (Champagnerroggen), dusted with flour
*brot_laib_header.jpg;Header: Brotregal;A rustic bakery shelf filled with various artisan bread loaves
*brot_scoring.jpg;Scoring Action;Close up macro shot of a razor blade scoring raw bread dough
*brot_roggenmisch.jpg;Roggenmischbrot;German Rye-Wheat Bread loaf (Roggenmischbrot), oval shape
*brot_baguette.jpg;Baguette;Traditional French Baguettes, long thin shape, golden crisp crust
*brot_pumpernickel.jpg;Pumpernickel;Block of Westphalian Pumpernickel, extremely dark black-brown color
*brot_campagne.jpg;Pain de Campagne;French Country Bread (Pain de Campagne), large round loaf (Boule)
*brot_ruchbrot.jpg;Ruchbrot;Swiss Ruchbrot, rustic dark wheat bread, elongated shape
*brot_sourdough.jpg;San Francisco Sourdough;San Francisco style Sourdough, very dark blistered crust
*brot_ciabatta.jpg;Ciabatta;Italian Ciabatta loaf, flat slipper shape, dusted with flour
*brot_altamura.jpg;Pane di Altamura;Pane di Altamura DOP, distinct high shape (folded)
*brot_borodinsky.jpg;Borodinsky;Russian Borodinsky bread, dark rye tin loaf, sprinkled with whole coriander seeds
*brot_challah.jpg;Challah;Braided Challah bread, golden shiny egg-wash glaze
*brot_tiger.jpg;Tiger Bread;Dutch Tiger Bread (Tijgerbrood), distinctive cracked crust pattern
*brot_brioche.jpg;Brioche;French Brioche Nanterre, golden yellow rich crumb
*brot_sodabread.jpg;Irish Soda Bread;Traditional Irish Soda Bread, round loaf with a deep cross cut on top
*kleinbrot_header.jpg;Header: Brötchenkorb;A woven bread basket overflowing with diverse bread rolls
*roll_kaiser.jpg;Kaisersemmel;Austrian Kaisersemmel, golden crispy crust with the distinct 5-star fold pattern
*roll_schrippe.jpg;Schrippe;German Schnittbroetchen (Schrippe), oval shape with a deep burst opening
*roll_lauge.jpg;Laugengebäck;Lye Roll (Laugenweckle), deep chestnut brown shiny color
*roll_roeggelchen.jpg;Röggelchen;Cologne Roeggelchen, pair of dark rye rolls baked together
*roll_vinschgauer.jpg;Vinschgauer;South Tyrolean Vinschgauer, flat rustic rye breads paired together
*roll_weggli.jpg;Weggli;Swiss Weggli, soft round milk bun with a deep central furrow
*roll_mohnflesserl.jpg;Mohnflesserl;Austrian Mohnflesserl, braided bun with poppy seeds covering the top
*roll_franzbroetchen.jpg;Franzbrötchen;Hamburg Franzbroetchen, flattened cinnamon pastry
*roll_bagel.jpg;Bagel;New York style Bagel with sesame seeds
*roll_croissant.jpg;Croissant;French Butter Croissant, perfect honeycomb structure visible at the tip
*roll_scones.jpg;Scones;English Scones, round shape with a natural break in the middle
*roll_englishmuffin.jpg;English Muffin;English Muffin, round flat bread, fork-split open
*roll_burgerbun.jpg;Burger Bun;Brioche Burger Bun, shiny golden dome
*roll_paodequeijo.jpg;Pao de Queijo;Brazilian Cheese Breads (Pao de Queijo), small golden balls
*soft_header.jpg;Header: Zopf und Buns;A golden brown Swiss braided bread (Zopf) next to soft shiny burger buns
*soft_briochebun.jpg;Brioche Bun;Single Brioche Burger Bun, shiny golden egg-wash glaze
*soft_potatoroll.jpg;Potato Roll;Potato Roll / Martin's Potato Roll style, slightly yellow crumb
*soft_hotdog.jpg;Hot Dog Bun;New England style Hot Dog Bun, split top
*soft_milch.jpg;Milchbrötchen;Swiss Weggli, round soft milk bun with deep central furrow
*soft_zopf.jpg;Schweizer Zopf;Traditional Swiss Sunday Zopf bread, 2-strand braid
*soft_challah.jpg;Challah;Jewish Challah bread, 6-strand braid, poppy seeds on top
*soft_hefezopf.jpg;Hefezopf;German sweet Hefezopf, topped with pearl sugar
*soft_cinnamonroll.jpg;Cinnamon Roll;American Cinnamon Roll with white cream cheese frosting
*soft_babka.jpg;Babka;Chocolate Babka loaf, sliced to show the intricate swirls of dark chocolate
*soft_panettone.jpg;Panettone;Italian Panettone, tall dome shape
*soft_stutenkerl.jpg;Stutenkerl;Stutenkerl / Grittibaenz dough figure, raisins for eyes
*soft_buchteln.jpg;Buchteln;Tray of baked Buchteln (Rohrnudeln), pulled apart to show the soft texture
*form_header.jpg;Header: Formen;A wooden bakery table displaying a braided Challah, a square Toast loaf
*form_zopf2.jpg;Schweizer Zopf;Swiss Sunday Zopf bread, 2-strand braid, high and round shape
*form_knoten.jpg;Hefeknoten;Single strand yeast dough knot (Hefeknoten), simple elegant shape
*form_kaiser.jpg;Kaisersemmel;Hand folded Kaisersemmel roll, distinct 5-star pattern from folding
*form_buerli.jpg;St. Galler Bürli;Pair of St. Galler Bürli rolls, dark rustic crust, attached to each other
*form_schrippe.jpg;Schrippe;German bread roll (Schrippe), oval shape with a single sharp longitudinal cut
*form_toast.jpg;Toastbrot;Square Pullman loaf (Toastbrot), perfectly straight edges, very fine white crumb
*form_couronne.jpg;Couronne Bordelaise;Couronne Bordelaise bread, ring shape with a flap of dough covering the join
*form_fougasse.jpg;Fougasse;French Fougasse bread, leaf shape with multiple slash openings
*roggen_header.jpg;Header: Roggen;A sliced loaf of dark german rye bread on a wooden board
roggen_vollkorn.jpg;Roggenvollkorn;German Whole Rye Bread (Roggenvollkornbrot), dense greyish crumb
roggen_pumpernickel.jpg;Pumpernickel;Block of Westphalian Pumpernickel, extremely dark black-brown color
roggen_vinschgauer.jpg;Vinschgauer;South Tyrolean Vinschgauer bread pairs, flat rustic shape
roggen_walliser.jpg;Walliser Roggenbrot;Swiss Walliser Roggenbrot AOP, round compact loaf with distinct cracked earth pattern
roggen_schuettel.jpg;Schüttelbrot;South Tyrolean Schüttelbrot, very thin hard crispbread
roggen_borodinsky.jpg;Borodinsky;Russian Borodinsky bread, dark brown rectangular tin loaf
roggen_rugbrod.jpg;Rugbrod;Danish Rugbrod, rectangular tin loaf packed with sunflower and pumpkin seeds
roggen_finnisch.jpg;Finnisches Lochbrot;Finnish Ruisleipä, flat rye bread round with a hole in the center
*lauge_header.jpg;Header: Lauge;A rustic wooden board with freshly baked german pretzels
*lauge_brezel.jpg;Laugenbrezel;German Pretzel (Brezel), classic knot shape, deep chestnut brown shiny lye crust
*lauge_bagel.jpg;New York Bagel;New York Bagel with Everything Seasoning (poppy, sesame, garlic)
*lauge_silserli.jpg;Silserli;Swiss Silserli lye roll, round shape, brown shiny crust
*lauge_croissant.jpg;Laugen Croissant;Lye Croissant (Laugencroissant), flaky croissant shape but dark brown lye color
*lauge_stangen.jpg;Salzstangen;Pretzel Sticks (Salzstangen), thin crispy sticks piled up
*lauge_konfekt.jpg;Laugenkonfekt;Bowl of Lye Bites (Laugenkonfekt), small chestnut-brown dough balls
*lauge_montreal.jpg;Montreal Bagel;Montreal Style Bagel, larger hole, thinner ring
*lauge_simit.jpg;Simit;Turkish Simit bread ring, covered entirely in sesame seeds
*lauge_obwarzanek.jpg;Obwarzanek;Polish Obwarzanek Krakowski, large braided dough ring
*glutenfrei_header.jpg;Header: Glutenfrei;A rustic loaf of gluten-free seed bread, sliced
free_buchweizen.jpg;Buchweizenbrot;Buckwheat bread loaf, dark greyish-brown crumb, rustic crust
free_reismais.jpg;Reis Mais Brot;Gluten free white bread loaf (Rice/Corn mix), slightly pale crust
free_saaten.jpg;Saatenbrot Wunderbrot;Seed bread (Wunderbrot), extremely dense texture made only of seeds
free_teff.jpg;Teff Injera;Injera flatbread, rolled up, spongy texture
free_eiweiss.jpg;Eiweißbrot;Protein Bread (Eiweissbrot), dark brown, wet look
free_cloud.jpg;Cloud Bread;Cloud bread, round fluffy golden discs
free_essener.jpg;Essener Brot;Essenes Bread (Sprouted Grain), very dense, moist
free_lupine.jpg;Lupinenbrot;Lupin flour bread, slightly yellow crumb color
free_psyllium.jpg;Psyllium Brot;Gluten free white bread with Psyllium, very open airy crumb
*reste_header.jpg;Header: Reste;Composition of leftover bread, bread crumbs in a jar, and croutons
reste_bruehstueck.jpg;Brühstück;A bowl with a brown soaking mush (scald/Brühstück) made from old bread
reste_broesel.jpg;Semmelbrösel;Fine breadcrumbs (Semmelbrösel) in a wooden scoop
reste_knoedel.jpg;Semmelknödel;Bavarian Bread Dumplings (Semmelknoedel) on a plate with mushroom sauce
reste_panzanella.jpg;Panzanella;Bowl of Panzanella salad, chunks of soaked bread mixed with red tomatoes
reste_ritter.jpg;Armer Ritter;French Toast (Armer Ritter), golden brown, dusted with powdered sugar
reste_chips.jpg;Brotchips;Crispy bread chips in a bowl, seasoned with herbs
reste_suppe.jpg;Brotsuppe;Rustic brown bread soup in a ceramic bowl
*fladenbrot_header.jpg;Header: Fladenbrote;A rustic woven basket filled with various types of flatbreads like naan, pita
*fladen_naan.jpg;Naan (Indien);Indian Naan bread, teardrop shape, blistered brown spots
*fladen_chapati.jpg;Chapati (Indien);Stack of Indian Chapati breads, round whole wheat flatbreads
*fladen_paratha.jpg;Paratha (Indien);Flaky Indian Paratha, layered flatbread, golden brown crispy swirl pattern
*fladen_pita.jpg;Pita (Naher Osten);Freshly baked Pita breads stacked, one cut open to show the large hollow pocket
*fladen_yufka.jpg;Yufka (Türkei);Turkish Yufka dough sheets, extremely large and paper thin
*fladen_lavash.jpg;Lavash (Armenien);Armenian Lavash, huge thin flatbread sheet hanging or draped over a basket
*fladen_bazlama.jpg;Bazlama (Türkei);Turkish Bazlama, thick soft round flatbread, golden brown spots
*fladen_simit.jpg;Simit (Türkei);Turkish Simit, sesame crusted bread ring, deep golden brown color
*fladen_injera.jpg;Injera (Äthiopien);Ethiopian Injera, large round spongy sourdough crepe
*fladen_batbout.jpg;Batbout (Marokko);Moroccan Batbout, small round pan-baked breads
*fladen_tortilla_maiz.jpg;Tortilla Mais (Mexiko);Stack of yellow corn tortillas, rustic handmade look
*fladen_tortilla_harina.jpg;Tortilla Weizen (Mexiko);Flour Tortillas, soft white flatbreads with light brown toasted spots
*fladen_arepa.jpg;Arepa (Südamerika);Venezuelan Arepa, thick round cornmeal patty
*fladen_piadina.jpg;Piadina (Italien);Italian Piadina Romagnola, folded flatbread filled with prosciutto di parma
*pizza_header.jpg;Header: Pizza Ofen;Traditional wood fired pizza oven with a fresh pizza napoletana inside
*pizza_napoletana.jpg;Pizza Napoletana;Authentic Pizza Napoletana Margherita, leopard spotted puffy cornicione
*pizza_romana.jpg;Pizza Romana Tonda;Pizza Romana Tonda, extremely thin and crispy crust
*pizza_pinsa.jpg;Pinsa Romana;Pinsa Romana, oval shaped flatbread pizza, airy and cloudy crust
*pizza_teglia.jpg;Pizza al Taglio;Roman Pizza al Taglio, rectangular slice on a tray, thick but very airy
*pizza_fritta.jpg;Pizza Fritta;Neapolitan Pizza Fritta, deep fried calzone shape
*pizza_ny.jpg;NY Style Pizza;New York Style Pizza slice, large foldable triangle
*pizza_chicago.jpg;Chicago Deep Dish;Chicago Deep Dish Pizza, thick pie-like structure in a steel pan
*pizza_detroit.jpg;Detroit Style Pizza;Detroit Style Pizza, rectangular steel pan, thick fluffy crust
*pizza_calzone.jpg;Calzone;Baked Calzone, folded pizza turnover, golden brown crust
*focaccia_genovese.jpg;Focaccia Genovese;Classic Focaccia Genovese, golden surface with distinct finger dimples
*focaccia_recco.jpg;Focaccia di Recco;Focaccia di Recco, very thin unleavened dough layers, melted stracchino cheese
*focaccia_barese.jpg;Focaccia Barese;Focaccia Barese, thick dough with cherry tomatoes and black olives
*focaccia_schiacciata.jpg;Schiacciata Toscana;Tuscan Schiacciata, rustic flatbread, slightly harder crust
*flat_flammkuchen.jpg;Flammkuchen (Elsass);Traditional Tarte Flambee (Flammkuchen), extremely thin crispy dough
*flat_pide.jpg;Pide (Türkei);Turkish Pide, boat shaped flatbread with folded edges
*flat_lahmacun.jpg;Lahmacun;Turkish Lahmacun, very thin round dough topped with a thin layer of red minced meat
*flat_manakish.jpg;Manakish;Levantine Manakish, round flatbread topped with green zaatar oil paste
*tortilla_header.jpg;Header: Tortilla;Stack of corn tortillas on a wooden press (Ist-Name)
*empanadas_header.jpg;Header: Empanadas;A rustic wooden table filled with a variety of freshly baked and fried empanadas
*empanada_argentina.jpg;Argentinien (Tucumana);Traditional Argentine empanada tucumana, golden baked dough with blistered crust
*empanada_chile.jpg;Chile (Pino);Chilean Empanada de Pino, large baked pastry
*empanada_colombia.jpg;Kolumbien (Mais/Frittiert);Colombian Empanada, fried yellow corn dough
*empanada_venezuela.jpg;Venezuela (Mais/Süßlich);Venezuelan Empanada, fried corn flour dough
*empanada_saltena.jpg;Bolivien (Salteña);Bolivian Salteña, upright standing baked empanada
*empanada_gallega.jpg;Spanien (Gallega);Empanada Gallega slice, a piece of a large flat galician pie
*empanada_peru.jpg;Peru (Peruana);Peruvian Empanada, baked golden pastry
*empanada_brasil.jpg;Brasilien (Pastel);Brazilian Pastel, large rectangular fried pastry
*empanada_ecuador.jpg;Ecuador (De Viento);Ecuadorian Empanada de Viento, large fried fluffy pastry
*asia_header.jpg;Header: Asia;Close up of a fluffy Japanese milk bread being pulled apart
*asia_shokupan.jpg;Shokupan;Loaf of square Japanese Shokupan milk bread, pure white crumb
*asia_melonpan.jpg;Melon Pan;Japanese Melon Pan, round bun with a grid-patterned cookie crust
*asia_anpan.jpg;Anpan;Japanese Anpan bun, golden brown, topped with black sesame seeds
*asia_currypan.jpg;Curry Pan;Fried Curry Pan, oval shape with crispy panko breadcrumbs
*asia_castella.jpg;Castella Cake;Slice of Nagasaki Castella sponge cake
*asia_pineapple.jpg;Pineapple Bun;Hong Kong Pineapple Bun (Bolo Bao)
*asia_eggtart.jpg;Egg Tart;Macau style Egg Tarts, flaky puff pastry shell
*asia_charsiu.jpg;Char Siu Bao;Steamed Char Siu Bao, fluffy white dough cracked open
*asia_mantou.jpg;Mantou;Plain steamed Mantou buns, smooth white skin
*asia_mooncake.jpg;Mooncake;Traditional Cantonese Mooncake, golden brown skin
*asia_pandan.jpg;Pandan Cake;Slice of green Pandan Chiffon Cake
*asia_garlicbread.jpg;Korean Garlic Bread;Korean Cream Cheese Garlic Bread
*global_intro.jpg;Header: Global Food;Collage of international starch dishes: African fufu, bamboo baskets
*global_fufu.jpg;Fufu;Ball of white Fufu dough in a bowl of red spicy soup
*global_couscous.jpg;Couscous;Fluffy Couscous grains piled high in a terracotta bowl
*global_mandazi.jpg;Mandazi;Golden brown fried triangular donuts (Mandazi)
*global_idli.jpg;Idli;White steamed Idli cakes stacked, soft fluffy texture
*global_dosa.jpg;Dosa;Giant golden crispy Dosa crepe rolled up
*global_puri.jpg;Puri;Puffed up golden fried Puri bread
*global_tamales.jpg;Tamales;Mexican Tamales wrapped in corn husks
*global_arepas.jpg;Arepas;Grilled corn Arepa sliced open and stuffed with shredded beef
*spec_pao_de_queijo.jpg;Pao de Queijo;Basket of Brazilian cheese breads (Pao de Queijo)
*global_tapioka.jpg;Tapioka;Brazilian Tapioca crepe, white granular texture
*global_mochi.jpg;Mochi;Soft round white Mochi cakes, dusted with starch
*global_zongzi.jpg;Zongzi;Chinese Sticky Rice Dumpling (Zongzi)
*global_suman.jpg;Suman;Filipino Suman, sticky rice roll wrapped in banana leaf
*global_socca.jpg;Socca;Socca chickpea pancake, golden brown charred surface
*global_bannock.jpg;Bannock;Fried Bannock bread, golden brown bubbly crust
global_pasty.jpg;Cornish Pasty (UK);Traditional Cornish Pasty, D-shaped baked pastry
global_samosa.jpg;Samosa (Indien);Indian Samosas, triangular fried pastry
global_gyoza.jpg;Gyoza (Japan);Japanese Gyoza dumplings, pan-fried bottom
global_pierogi.jpg;Pierogi (Polen);Polish Pierogi dumplings, boiled dough, half-moon shape
global_borek.jpg;Börek (Türkei);Turkish Sigara Börek, rolled filo pastry cigars
*vien_header.jpg (viennoiserie_header.jpg?);Header: Viennoiserie;A cooling rack filled with golden brown croissants and pains au chocolat
*vien_croissant.jpg;Croissant;Single perfect Croissant, straight shape, distinct layers
*vien_chocolat.jpg;Pain au Chocolat;Pain au Chocolat, rectangular puffy pastry
*vien_franz.jpg;Franzbrötchen;Hamburg Franzbroetchen, pressed flat cinnamon pastry
*vien_brioche.jpg;Brioche;Classic French Brioche a tete, golden brown shiny crust
*vien_danish.jpg;Danish Pastry;Danish Spandauer pastry, flaky laminated dough rim
*vien_nata.jpg;Pastel de Nata;Portuguese Pastel de Nata, flaky tart shell
*vien_kouign.jpg;Kouign Amann;Kouign-Amann pastry, round shape, extremely shiny caramelized sugar
*vien_escargot.jpg;Pain aux Raisins;Pain aux Raisins (Escargot), spiral pastry with vanilla custard
*vien_cruffin.jpg;Cruffin;Cruffin pastry, tall laminated dough muffin shape
*vien_palmier.jpg;Palmier;Palmier cookie (Elephant ear), heart shape
*vien_nuss.jpg;Nussschnecke;German Hazelnut Snail (Nussschnecke)
?rich_header.jpg (festtag_header.jpg);Header: Festtage;A festive table with a sliced Panettone and a German Stollen
rich_panettone.jpg;Panettone;Italian Panettone, tall cylindrical shape, brown domed crust
rich_pandoro.jpg;Pandoro;Pandoro cake, star-shaped section, golden yellow inside
rich_colomba.jpg;Colomba;Colomba Pasquale, dove-shaped Easter bread
rich_stollen.jpg;Christstollen;Dresden Stollen, oblong shape with a thick white coating of powdered sugar
rich_gugelhupf.jpg;Gugelhupf;Marble Gugelhupf cake in a bundt pan shape
rich_berliner.jpg;Berliner Krapfen;Berliner doughnut (Krapfen), fried golden ball
rich_brioche.jpg;Brioche Nanterre;Brioche Nanterre loaf, made of joined dough balls
rich_babka.jpg;Babka;Chocolate Babka, braided loaf cake
rich_kulitsch.jpg;Kulitsch;Russian Kulich, tall cylindrical easter bread
rich_pinze.jpg;Osterpinze;Austrian Osterpinze, round sweet bread with three deep cuts
?pfannkuchen_header.jpg (pancake_crepe.jpg?);Header: Pancakes;A stack of fluffy golden american pancakes with maple syrup
*pancake_crepe.jpg;Crêpes;Thin French Crepes folded into triangles on a plate
*pancake_swiss.jpg;Schweizer Omelette;Rolled Palatschinken filled with apricot jam
*pancake_galette.jpg;Galette Bretonne;Buckwheat Galette Bretonne, folded edges into a square
*pancake_flaedle.jpg;Flädle;Flädlesuppe (Pancake soup), strips of pancake floating in clear beef broth
*pancake_american.jpg;American Pancake;Short stack of 3 thick fluffy pancakes
*pancake_kaiserschmarrn.jpg;Kaiserschmarrn;Kaiserschmarrn in a rustic iron pan, torn pancake pieces
*pancake_blini.jpg;Blini;Small Russian Blini pancakes, topped with sour cream and red caviar
*pan_souffle.jpg;Japanese Souffle;Japanese Souffle Pancakes, extremely tall and thick
*pan_omelett.jpg;Omelett;Classic French Omelette, pale yellow color without browning
*pan_tortilla.jpg;Tortilla Española;Spanish Tortilla de Patatas, thick potato egg omelette cake
*pan_dutchbaby.jpg;Dutch Baby;Dutch Baby pancake in a cast iron skillet
*pan_okonomiyaki.jpg;Okonomiyaki;Japanese Okonomiyaki savory pancake
*pan_dosa.jpg;Dosa;South Indian Masala Dosa, huge paper-thin golden crepe
*pan_poffertjes.jpg;Poffertjes;Dutch Poffertjes, pile of tiny puffy mini-pancakes
*fry_header.jpg;Header: Siedegebäck;A panoramic shot of a rustic bakery table filled with donuts, berliner
*fry_berliner.jpg;Berliner / Krapfen (DE);Classic German Berliner Pfannkuchen, round golden fried dough
*fry_chueechli.jpg;Fasnachtschüechli (CH);Swiss Fasnachtschueechli, extremely thin and fragile fried pastry
*fry_schenkeli.jpg;Schenkeli (CH);Swiss Schenkeli pastry, small oblong fried dough logs
*fry_quark.jpg;Quarkbällchen (DE);German Quarkbaellchen, small irregular round fried curd cheese balls
*sied_spritzkuchen.jpg;Spritzkuchen (DE);Eberswalder Spritzkuchen, fried choux pastry rings
*fry_mutzen.jpg;Mutzenmandeln (DE/CH);Mutzenmandeln, small almond-shaped fried cookies
*sied_krapfen.jpg;Krapfen (AT);Viennese Krapfen, fluffy round doughnut, distinct white ring
*fry_donut.jpg;Donut Yeast (USA);Classic American glazed yeast donut, golden fried ring
*sied_cronut.jpg;Cronut (USA);Cronut pastry, hybrid of croissant and donut
*fry_beignet.jpg;Beignets (FR/USA);New Orleans style Beignets, square puffy fried dough pillows
*fry_funnel.jpg;Funnel Cake (USA);American Funnel Cake, a chaotic nest of fried batter strands
*fry_churros.jpg;Churros (ES);Spanish Churros, star-shaped fried dough strips
*sied_oliebollen.jpg;Oliebollen (NL);Dutch Oliebollen, rustic irregular fried dough balls
*fry_loukoumades.jpg;Loukoumades (GR);Greek Loukoumades, small round yeast dough balls
*fry_zeppole.jpg;Zeppole (IT);Italian Zeppole di San Giuseppe, fried choux pastry ring
*fry_cannoli.jpg;Cannoli (IT);Sicilian Cannoli shell, fried bubbly pastry tube
*fry_koeksister.jpg;Koeksisters (ZA);South African Koeksisters, braided fried dough
*fry_youtiao.jpg;Youtiao (CN);Chinese Youtiao, long golden brown fried dough sticks
*fry_sopaipilla.jpg;Sopaipillas (CL);Chilean Sopaipillas, round flat fried discs
*fry_langos.jpg;Langos (HU);Hungarian Langos, large flat fried yeast dough
*kuchen_header.jpg;Header: Rührteig;A marble bundt cake (Gugelhupf) dusted with sugar next to a whisk and eggs
cake_gugelhupf.jpg;Gugelhupf;Marble Bundt Cake slice, showing the swirl of chocolate and vanilla
cake_muffin.jpg;Muffins;Blueberry muffin cut open, showing coarse crumb and berries
cake_cupcake.jpg;Cupcakes;Vanilla cupcake with a swirl of pink buttercream frosting
cake_brownie.jpg;Brownies;Stack of fudgy chocolate brownies, shiny crackly top crust
cake_madeleine.jpg;Madeleines;Classic French Madeleines, shell shape with the characteristic hump
cake_pound.jpg;Pound Cake;Slices of pound cake (Quatre Quarts), dense yellow crumb
cake_banana.jpg;Banana Bread;Banana bread loaf sliced, moist dark crumb
*pasta_header.jpg;Header: Pasta;Artisan making fresh pasta on a wooden table, flour dusting
*pasta_spaghetti.jpg;Spaghetti;Fork twirling spaghetti with simple tomato basil sauce
*pasta_rigatoni.jpg;Rigatoni;Bowl of Rigatoni pasta with chunky meat ragu sauce
*pasta_fusilli.jpg;Fusilli;Fusilli pasta coated in green pesto genovese
*pasta_orecchiette.jpg;Orecchiette;Orecchiette pasta with broccoli rabe and sausage crumbles
*pasta_tagliatelle.jpg;Tagliatelle;Nest of fresh raw tagliatelle egg pasta
*pasta_ravioli.jpg;Ravioli;Homemade Ravioli with serrated edges
*pasta_tortellini.jpg;Tortellini;Small Tortellini in clear golden broth (brodo)
*pasta_lasagne.jpg;Lasagne;Slice of Lasagne al Forno on a plate
*pasta_rotolo.jpg;Rotolo (Gerollt);Rotolo di Spinaci pasta, slice showing the spiral roll
*pasta_cannelloni.jpg;Cannelloni;Baked Cannelloni tubes filled with ricotta
*spaetzle_header.jpg;Header: Spätzle;A rustic wooden kitchen board filled with freshly made yellow egg spaetzle
*spaetzle_schaben.jpg;Action: Schaben;Close up action shot of a hand scraping spaetzle dough
*spaetzle_schwaebisch.jpg;Schwäbische Spätzle;Plate of classic Swabian Spaetzle, irregular long noodles
*spaetzle_knoepfle.jpg;Knöpfle;Swiss Knoepfli, small round button-shaped egg pasta
*spaetzle_kaesspaetzle.jpg;Kässpätzle;Vorarlberger Kaesspaetzle, cheesy noodles pulled high with strings of melted mountain cheese
*spaetzle_spinat.jpg;Spinatspätzle;Green Spinach Spaetzle, vibrant green color
*spaetzle_leber.jpg;Leberspätzle;Liver Spaetzle Soup, brownish irregular noodles floating in clear beef broth
*spaetzle_kraeuter.jpg;Kräuterspätzle;Herb Spaetzle, speckles of green herbs visible in the dough
*spaetzle_schupfnudeln.jpg;Schupfnudeln;Schupfnudeln (Finger Noodles), golden brown pan-fried potato noodles
*spaetzle_galuska.jpg;Galuska;Hungarian Galuska dumplings, simple irregular flour dumplings
*spaetzle_halusky.jpg;Halusky;Slovak Bryndzove Halusky, small potato dumplings covered in white sheep cheese sauce
*spaetzle_tarhonya.jpg;Tarhonya;Hungarian Tarhonya, small dried egg barley pasta grains
*knoedel_header.jpg;Header: Knödel;A rustic table setting featuring a variety of dumplings: German potato dumplings
*knoedel_semmel.jpg;Semmelknödel;German Bread Dumplings (Semmelknoedel), round sphere with visible parsley
*knoedel_thueringer.jpg;Thüringer Klöße;Thuringian Potato Dumplings, shiny smooth surface
*knoedel_servietten.jpg;Serviettenknödel;Sliced Bread Dumpling Log (Serviettenknoedel)
*knoedel_leber.jpg;Leberknödel;Liver Dumpling Soup, a large brownish round dumpling
*knoedel_maultaschen.jpg;Maultaschen;Swabian Maultaschen, large square pasta pockets filled with meat and spinach
*knoedel_pierogi.jpg;Pierogi;Polish Pierogi dumplings, half-moon shape, boiled
*knoedel_pelmeni.jpg;Pelmeni;Russian Pelmeni, small ear-shaped meat dumplings
*knoedel_khinkali.jpg;Khinkali;Georgian Khinkali, large dumplings with twisted dough handle
*knoedel_germ.jpg;Germknödel;Austrian Germknoedel, large fluffy yeast dumpling
*knoedel_marillen.jpg;Marillenknödel;Apricot Dumplings (Marillenknoedel), cut open revealing the orange apricot
*knoedel_dampfnudel.jpg;Dampfnudel;Bavarian Dampfnudel, large yeast dumpling with a golden crispy caramelized bottom crust
*knoedel_hargow.jpg;Har Gow;Dim Sum Har Gow, crystal shrimp dumplings
*knoedel_xiaolongbao.jpg;Xiao Long Bao;Xiao Long Bao soup dumplings, delicate skin, sitting on a spoon
*knoedel_wonton.jpg;Wonton;Chinese Wonton soup, thin yellow dough wrappers with pork filling
*knoedel_gyoza.jpg;Gyoza;Japanese Gyoza, pan-fried bottom (crispy brown), steamed top
*knoedel_momo.jpg;Momos;Tibetan Momos, round steamed dumplings with thick dough
*knoedel_gnocchi.jpg;Gnocchi;Italian Potato Gnocchi, small ridged dumplings
*knoedel_matzah.jpg;Matzah Balls;Matzah Ball Soup, large fluffy balls floating in golden chicken soup
