Dateiname;Prompt für Bildgenerator;Verwendung / OrDateiname;Thema;Prompt
reset bildgenerator und nochmals:



Dateiname;Thema;Prompt
fladen_batbout.jpg;Batbout (Marokko);Moroccan Batbout, small round pan-baked breads, puffed up slightly, semolina texture on the surface, served in a tagine lid
fladen_tortilla_maiz.jpg;Tortilla Mais (Mexiko);Stack of yellow corn tortillas, rustic handmade look, kept warm in a colorful cloth napkin, steam rising, authentic mexican style
fladen_tortilla_harina.jpg;Tortilla Weizen (Mexiko);Flour Tortillas, soft white flatbreads with light brown toasted spots, flexible texture, stacked on a wooden board
fladen_arepa.jpg;Arepa (Südamerika);Venezuelan Arepa, thick round cornmeal patty, golden crispy crust, sliced open and stuffed with cheese and meat, grill marks visible
fladen_piadina.jpg;Piadina (Italien);Italian Piadina Romagnola, folded flatbread filled with prosciutto di parma and arugula, grill marks on the white dough, rustic italian table

Dateiname;Thema;Prompt
knoedel_header.jpg;Header: Knödel;A rustic table setting featuring a variety of dumplings: German potato dumplings, Asian bamboo steamers with dim sum, and polish pierogi, steam rising, warm lighting, cinematic 8k --ar 16:9
knoedel_semmel.jpg;Semmelknödel;German Bread Dumplings (Semmelknoedel), round sphere with visible parsley and bread chunks, sitting in a dark gravy sauce, rustic plate, soft focus
knoedel_thueringer.jpg;Thüringer Klöße;Thuringian Potato Dumplings, shiny smooth surface, slightly greyish-white potato color, served with roast duck leg and red cabbage, steam rising
knoedel_servietten.jpg;Serviettenknödel;Sliced Bread Dumpling Log (Serviettenknoedel), slices showing the bread texture and herbs, served with creamy mushroom sauce, elegant plating
knoedel_leber.jpg;Leberknödel;Liver Dumpling Soup, a large brownish round dumpling floating in clear beef broth with chives rings, white soup bowl, traditional austrian style
knoedel_maultaschen.jpg;Maultaschen;Swabian Maultaschen, large square pasta pockets filled with meat and spinach, floating in broth with onions, top down view
knoedel_pierogi.jpg;Pierogi;Polish Pierogi dumplings, half-moon shape, boiled and topped with caramelized onions and butter, rustic wooden table, fork on side
knoedel_pelmeni.jpg;Pelmeni;Russian Pelmeni, small ear-shaped meat dumplings, piled in a bowl, dollop of smetana (sour cream) and dill on top, cozy winter vibe
knoedel_khinkali.jpg;Khinkali;Georgian Khinkali, large dumplings with twisted dough handle (knob) on top, pleated folds, steaming hot, black pepper sprinkled, eaten by hand
knoedel_germ.jpg;Germknödel;Austrian Germknoedel, large fluffy yeast dumpling, covered in black poppy seeds and powdered sugar, swimming in vanilla sauce, ski hut atmosphere
knoedel_marillen.jpg;Marillenknödel;Apricot Dumplings (Marillenknoedel), cut open revealing the orange apricot inside, coated in golden buttery breadcrumbs, powdered sugar dusting
knoedel_dampfnudel.jpg;Dampfnudel;Bavarian Dampfnudel, large yeast dumpling with a golden crispy caramelized bottom crust, soft white top, sitting in a cast iron pan
knoedel_hargow.jpg;Har Gow;Dim Sum Har Gow, crystal shrimp dumplings, translucent pleated dough skin showing pink shrimp inside, served in a bamboo steamer, macro shot
knoedel_xiaolongbao.jpg;Xiao Long Bao;Xiao Long Bao soup dumplings, delicate skin, sitting on a spoon, one punctured showing soup broth flowing out, chopsticks holding it
knoedel_wonton.jpg;Wonton;Chinese Wonton soup, thin yellow dough wrappers with pork filling, floating in clear broth with bok choy and chili oil droplets
knoedel_gyoza.jpg;Gyoza;Japanese Gyoza, pan-fried bottom (crispy brown), steamed top, arranged in a row, soy sauce dip on side, chopsticks
knoedel_momo.jpg;Momos;Tibetan Momos, round steamed dumplings with thick dough, served with bright red spicy chutney, rustic presentation
knoedel_gnocchi.jpg;Gnocchi;Italian Potato Gnocchi, small ridged dumplings, tossed in sage butter sauce, parmesan cheese shavings, macro detail of ridges
knoedel_matzah.jpg;Matzah Balls;Matzah Ball Soup, large fluffy balls floating in golden chicken soup with carrots and celery, jewish holiday tradition, comfort food
knoedel_tamales.jpg;Tamales (Kolumbien);Colombian Tamal, wrapped in green banana leaves, steamed, one open showing the yellow corn dough and filling of chicken and carrots, rustic wooden table

Dateiname;Thema;Prompt
spaetzle_header.jpg;Header: Spätzle;A rustic wooden kitchen board filled with freshly made yellow egg spaetzle, flour dusting, raw eggs and a wooden spoon in background, warm alpine light, cinematic 8k --ar 16:9
spaetzle_schaben.jpg;Action: Schaben;Close up action shot of a hand scraping spaetzle dough from a wooden board into boiling water, steam rising, traditional technique, dynamic motion
spaetzle_schwaebisch.jpg;Schwäbische Spätzle;Plate of classic Swabian Spaetzle, irregular long noodles, glistening with butter, served next to a roast beef slice with gravy
spaetzle_knoepfle.jpg;Knöpfle;Swiss Knoepfli, small round button-shaped egg pasta, golden yellow, piled in a bowl, macro shot of texture
spaetzle_kaesspaetzle.jpg;Kässpätzle;Vorarlberger Kaesspaetzle, cheesy noodles pulled high with strings of melted mountain cheese (kaesefaden), topped with crispy fried onions, served in a wooden bowl
spaetzle_spinat.jpg;Spinatspätzle;Green Spinach Spaetzle, vibrant green color, served with a creamy ham sauce, white plate, fresh spinach leaf garnish
spaetzle_leber.jpg;Leberspätzle;Liver Spaetzle Soup, brownish irregular noodles floating in clear beef broth with chives, traditional soup bowl
spaetzle_kraeuter.jpg;Kräuterspätzle;Herb Spaetzle, speckles of green herbs visible in the dough, served as a side dish, fresh and light look
spaetzle_schupfnudeln.jpg;Schupfnudeln;Schupfnudeln (Finger Noodles), golden brown pan-fried potato noodles mixed with sauerkraut and bacon bits, rustic pan
spaetzle_galuska.jpg;Galuska;Hungarian Galuska dumplings, simple irregular flour dumplings, served with chicken paprikash sauce, rustic style
spaetzle_halusky.jpg;Halusky;Slovak Bryndzove Halusky, small potato dumplings covered in white sheep cheese sauce and topped with crispy bacon bits
spaetzle_tarhonya.jpg;Tarhonya;Hungarian Tarhonya, small dried egg barley pasta grains, raw in a wooden scoop and cooked in a bowl, rustic texture

Dateiname;Thema;Prompt
pasta_header.jpg;Header: Pasta Making;Artisan making fresh pasta on a wooden table, flour dusting, eggs, rolling pin, sheets of yellow dough, cinematic lighting, warm tones, 8k --ar 16:9
pasta_spaghetti.jpg;Spaghetti;Fork twirling spaghetti with simple tomato basil sauce, steam rising, parmesan sprinkle, dark background, macro shot
pasta_rigatoni.jpg;Rigatoni;Bowl of Rigatoni pasta with chunky meat ragu sauce, sauce caught inside the tubes, fresh basil leaf on top, rustic style
pasta_fusilli.jpg;Fusilli;Fusilli pasta coated in green pesto genovese, pine nuts scattered, bright natural light, top down view
pasta_orecchiette.jpg;Orecchiette;Orecchiette pasta with broccoli rabe and sausage crumbles, olive oil glistening in the small ear-shaped hollows, southern italian style
pasta_tagliatelle.jpg;Tagliatelle;Nest of fresh raw tagliatelle egg pasta, dusted with flour, yellow rich color, texture visible, wooden board background
pasta_ravioli.jpg;Ravioli;Homemade Ravioli with serrated edges, filled with ricotta and spinach, served with sage butter sauce, golden brown sear marks
pasta_tortellini.jpg;Tortellini;Small Tortellini in clear golden broth (brodo), floating with some fat droplets, elegant spoon lifting one up, traditional bologna style
pasta_lasagne.jpg;Lasagne;Slice of Lasagne al Forno on a plate, showing distinct layers of pasta ragu and bechamel, crispy burnt cheese edges, rich and hearty
pasta_rotolo.jpg;Rotolo (Gerollt);Rotolo di Spinaci pasta, slice showing the spiral roll of pasta sheet spinach and ricotta, baked in tomato sauce with melted mozzarella on top, cross section view
pasta_cannelloni.jpg;Cannelloni;Baked Cannelloni tubes filled with ricotta, covered in tomato sauce and bubbling cheese, fresh from the oven, ceramic dish

Dateiname;Thema;Prompt
pasta_header.jpg;Header: Pasta World;A chaotic artistic arrangement of raw pasta shapes: spaghetti, penne, farfalle, and asian noodles, scattered flour, italian rolling pin, cinematic lighting, 8k --ar 16:9
pasta_spaghetti.jpg;Spaghetti;Fork twirling spaghetti with tomato basil sauce, steam rising, close up, shallow depth of field
pasta_linguine.jpg;Linguine;Plate of Linguine pasta with pesto genovese, flat noodle shape visible, pine nuts garnish, overhead shot
pasta_tagliatelle.jpg;Tagliatelle;Fresh egg Tagliatelle nests, raw on a wooden board, golden yellow color, flour dusting, porous texture
pasta_pappardelle.jpg;Pappardelle;Wide Pappardelle ribbons with wild boar ragu, rustic brown sauce coating the broad noodles, hearty presentation
pasta_bucatini.jpg;Bucatini;Bucatini Amatriciana, thick spaghetti with hollow center visible at the cut ends, red tomato sauce with guanciale
pasta_capellini.jpg;Capellini;Angel Hair pasta Capellini, extremely thin noodles swirled in a light butter lemon sauce, delicate texture
pasta_mafaldine.jpg;Mafaldine;Mafaldine pasta, ribbon shape with wavy ruffled edges, served with creamy mushroom sauce, distinct texture
pasta_penne.jpg;Penne Rigate;Raw Penne Rigate scattered, close up showing the ridges on the tube surface and the angled cut
pasta_fusilli.jpg;Fusilli;Fusilli spirals coated in red tomato sauce, the sauce trapped in the screw threads, macro food photography
pasta_rigatoni.jpg;Rigatoni;Rigatoni tubes standing up in a baking dish, covered in melted mozzarella and tomato sauce, golden baked edges
pasta_farfalle.jpg;Farfalle;Farfalle bowtie pasta salad, with cherry tomatoes and mozzarella balls, bright colors, distinct butterfly shape
pasta_orecchiette.jpg;Orecchiette;Handmade Orecchiette pasta, ear shape with rough surface, tossed with broccoli rabe and chili, rustic puglia style
pasta_trofie.jpg;Trofie;Trofie pasta, short twisted tapered shape, coated in bright green pesto, macro shot showing the twist
pasta_paccheri.jpg;Paccheri;Giant Paccheri tubes served with seafood sauce, collapsed slightly under the weight of the sauce, neapolitan style
pasta_conchiglie.jpg;Conchiglie;Large Conchiglie shells stuffed with spinach and ricotta, baked in tomato sauce, shell shape clearly visible
pasta_ravioli.jpg;Ravioli;Fresh square Ravioli with zig-zag edges, filled with pumpkin, sage butter sauce, overhead view
pasta_tortellini.jpg;Tortellini;Handmade Tortellini, small ring shape, served in clear broth (en brodo), elegant spoon
pasta_cannelloni.jpg;Cannelloni;Baked Cannelloni tubes, golden cheese crust on top, tomato sauce bubbling at the edges, fresh basil
pasta_lasagne.jpg;Lasagne;Slice of Lasagne Bolognese, showing distinct layers of pasta sheets, meat sauce and bechamel, cheese pull
pasta_garganelli.jpg;Garganelli;Garganelli pasta, rolled tubes with ridges across the surface (comb marks), yellow egg dough, raw on a board
asia_ramen.jpg;Ramen Nudeln;Bowl of Ramen noodles lifted by chopsticks, yellow crinkly noodles, steaming pork broth, egg and chashu in background
asia_udon.jpg;Udon Nudeln;Thick white Udon noodles in a wooden bowl, simple dashi broth, scallions, smooth chunky texture
asia_soba.jpg;Soba Nudeln;Cold Soba noodles made of buckwheat, greyish-brown color, served on a bamboo zaru tray with dipping sauce
asia_rice.jpg;Reisnudeln;Pad Thai dish with flat rice noodles, bean sprouts, crushed peanuts, lime wedge, vibrant street food colors
asia_glass.jpg;Glasnudeln;Glass noodle salad (Yum Woon Sen), transparent thin noodles, mixed with minced pork and chili, crystal clear texture
asia_mie.jpg;Mie Nudeln;Wok stir fry with Mie noodles, egg noodles, vegetables, soy sauce glaze, steam rising, wok hei style
asia_somen.jpg;Somen Nudeln;Somen noodles flowing in cold water (Nagashi Somen) or on ice, extremely thin white strands, refreshing summer look

Dateiname;Thema;Prompt
asia_header.jpg;Header: Asia Bakery;Close up of a fluffy Japanese milk bread being pulled apart, showing the cotton-like shreds and soft texture, bright airy lighting, white background, high detail --ar 16:9
asia_shokupan.jpg;Shokupan;Loaf of square Japanese Shokupan milk bread, pure white crumb, golden thin crust, sliced, soft sunlight, minimalist style
asia_melonpan.jpg;Melon Pan;Japanese Melon Pan, round bun with a grid-patterned cookie crust on top, sugar crystals sparkling, pastel background
asia_anpan.jpg;Anpan;Japanese Anpan bun, golden brown, topped with black sesame seeds, cut open to show the dark red bean paste filling
asia_currypan.jpg;Curry Pan;Fried Curry Pan, oval shape with crispy panko breadcrumbs, broken open revealing thick brown curry filling, steam rising
asia_castella.jpg;Castella Cake;Slice of Nagasaki Castella sponge cake, golden brown top and bottom, moist yellow crumb, served on a wooden plate with tea
asia_pineapple.jpg;Pineapple Bun;Hong Kong Pineapple Bun (Bolo Bao), golden crusted top resembling pineapple skin, a thick slab of cold butter wedged in the middle
asia_eggtart.jpg;Egg Tart;Macau style Egg Tarts, flaky puff pastry shell, creamy yellow custard filling with caramelized brown spots, baking tray background
asia_charsiu.jpg;Char Siu Bao;Steamed Char Siu Bao, fluffy white dough cracked open at the top, revealing bbq pork filling, in a bamboo steamer
asia_mantou.jpg;Mantou;Plain steamed Mantou buns, smooth white skin, piled high in a steamer basket, soft and pillow-like
asia_mooncake.jpg;Mooncake;Traditional Cantonese Mooncake, golden brown skin with intricate molded floral patterns, cut wedge showing lotus paste and salted egg yolk
asia_pandan.jpg;Pandan Cake;Slice of green Pandan Chiffon Cake, very airy porous texture, vibrant natural green color, coconut flakes nearby
asia_garlicbread.jpg;Korean Garlic Bread;Korean Cream Cheese Garlic Bread, round bun cut into six wedges, soaked in garlic butter, filled with cream cheese, parsley sprinkles

Dateiname;Thema;Prompt
global_intro.jpg;Header: Global Food;Collage of international starch dishes: African fufu pounding, steaming bamboo baskets, mexican tamales, cinematic lighting, diverse textures --ar 16:9
global_fufu.jpg;Fufu;Ball of white Fufu dough in a bowl of red spicy soup, smooth shiny texture, hand dipping into the bowl, west african style
global_couscous.jpg;Couscous;Fluffy Couscous grains piled high in a terracotta bowl, topped with roasted vegetables and chickpeas, steam rising
global_mandazi.jpg;Mandazi;Golden brown fried triangular donuts (Mandazi), stacked on a plate, dusted with powdered sugar, coconut milk in background
global_idli.jpg;Idli;White steamed Idli cakes stacked, soft fluffy texture, served on banana leaf with coconut chutney and sambar
global_dosa.jpg;Dosa;Giant golden crispy Dosa crepe rolled up, served on a metal thali tray with various colorful chutneys
global_puri.jpg;Puri;Puffed up golden fried Puri bread, round balloon shape, served with potato curry (bhaji), indian breakfast
global_tamales.jpg;Tamales;Mexican Tamales wrapped in corn husks, one open showing the masa dough and red chili meat filling, rustic wooden table
global_arepas.jpg;Arepas;Grilled corn Arepa sliced open and stuffed with shredded beef and cheese, grill marks on the surface, venezuelan street food
spec_pao_de_queijo.jpg;Pao de Queijo;Basket of Brazilian cheese breads (Pao de Queijo), small golden balls, one torn open showing the chewy stretchy interior
global_tapioka.jpg;Tapioka;Brazilian Tapioca crepe, white granular texture, folded over with cheese and coconut filling, frying pan background
global_mochi.jpg;Mochi;Soft round white Mochi cakes, dusted with starch, arranged on a lacquer plate, one pulled to show elasticity
global_zongzi.jpg;Zongzi;Chinese Sticky Rice Dumpling (Zongzi), pyramid shape wrapped in dark green bamboo leaves, tied with string
global_suman.jpg;Suman;Filipino Suman, sticky rice roll wrapped in banana leaf, unwrapped to show the glistening rice cooked in coconut milk
global_socca.jpg;Socca;Socca chickpea pancake, golden brown charred surface, baked in a cast iron pan, sprinkled with black pepper, sliced
global_bannock.jpg;Bannock;Fried Bannock bread, golden brown bubbly crust, rustic outdoor setting, camping fire background

Dateiname;Thema;Prompt
brot_origin.jpg;Urzeit Fladenbrot;Prehistoric flatbread baking on a hot stone in the sun, primitive setting, grain stalks in background, cinematic warm lighting, detailed texture of cracked grain
egypt_bread.jpg;Ägypten Bäckerei;Ancient Egyptian bakery scene, wall painting style brought to life, people kneading dough in large clay pots, dome ovens in background, sand colors, historical accuracy
brot_modern_artisan.jpg;Modern Artisan Bread;Close up of a rustic sourdough bread loaf, dark caramelized crust with flour dusting, deep scoring ear, sitting on a wooden table, moody lighting

Dateiname;Thema;Prompt
hefe_sauerteig.jpg;Header: Hefe und Sauerteig;Split composition showing fresh yeast cube crumbling on left and bubbly sourdough starter in a jar on right, floury wooden table, cinematic lighting --ar 16:9
hefe_frisch.jpg;Frische Hefe;Cube of fresh bakers yeast (42g), beige color, crumbling slightly, macro shot, isolated on white paper
hefe_trocken.jpg;Trockenhefe;Pile of dry yeast granules (instant yeast), small beige spheres, macro shot showing texture
sauerteig_roggen.jpg;Roggen Sauerteig;Active rye sourdough starter in a Weck glass jar, huge bubbles visible on the side, rising high, rustic background
lievito_madre.jpg;Lievito Madre;Solid italian sourdough (Lievito Madre), cross cut showing the internal spiderweb structure of gluten, white flour dusting
backpulver.jpg;Backpulver;White baking powder on a silver spoon, chemical purity look, soft studio lighting
natron.jpg;Natron;Baking Soda powder, very fine white powder, next to a lemon wedge (to imply acid reaction), bright lighting
hirschhornsalz.jpg;Hirschhornsalz;Hirschhornsalz crystals (Ammonium carbonate), slightly coarser than baking powder, in a small vintage spice bowl
pottasche.jpg;Pottasche;Potash (Potassium carbonate) white powder, in a small glass dish, labelled, baking setting
fermentation_bubbles.jpg;Gärung Makro;Extreme macro shot of dough surface showing gas bubbles trapped under the gluten skin, tension, scientific food photography
chemie_reaction.jpg;Chemische Reaktion;Baking soda reacting with vinegar in a glass, fizzy eruption, bubbles rising fast, dynamic shot

Dateiname;Thema;Prompt
